NR9 ordinary,n,k
1297.5,2.020619,0.008477
1300,2.018982,0.008396
1302.5,2.017362,0.008313
1305,2.015759,0.00823
1307.5,2.014172,0.008147
1310,2.012601,0.008066
1312.5,2.011046,0.007986
1315,2.009505,0.007908
1317.5,2.00798,0.007833
1320,2.006469,0.007762
1322.5,2.004973,0.007695
1325,2.003492,0.007632
1327.5,2.002026,0.007575
1330,2.000574,0.007524
1332.5,1.999139,0.007478
1335,1.997719,0.00744
1337.5,1.996317,0.007407
1340,1.994932,0.007381
1342.5,1.993564,0.00736
1345,1.992215,0.007344
1347.5,1.990882,0.007333
1350,1.989568,0.007326
1352.5,1.988271,0.007323
1355,1.986992,0.007324
1357.5,1.98573,0.007328
1360,1.984486,0.007335
1362.5,1.983258,0.007345
1365,1.982048,0.007357
1367.5,1.980855,0.007371
1370,1.979678,0.007387
1372.5,1.978517,0.007404
1375,1.977373,0.007422
1377.5,1.976245,0.007441
1380,1.975132,0.007461
1382.5,1.974035,0.00748
1385,1.972953,0.0075
1387.5,1.971886,0.007519
1390,1.970833,0.007538
1392.5,1.969795,0.007556
1395,1.96877,0.007573
1397.5,1.967759,0.007588
1400,1.96676,0.007602
1402.5,1.965775,0.007614
1405,1.964802,0.007624
1407.5,1.96384,0.007631
1410,1.96289,0.007636
1412.5,1.961949,0.007639
1415,1.961019,0.007639
1417.5,1.960098,0.007637
1420,1.959187,0.007634
1422.5,1.958283,0.007628
1425,1.957389,0.007621
1427.5,1.956502,0.007613
1430,1.955623,0.007603
1432.5,1.954752,0.007592
1435,1.953888,0.00758
1437.5,1.953031,0.007568
1440,1.952182,0.007555
1442.5,1.951339,0.007541
1445,1.950503,0.007528
1447.5,1.949673,0.007514
1450,1.94885,0.0075
1452.5,1.948033,0.007486
1455,1.947223,0.007473
1457.5,1.946418,0.007459
1460,1.94562,0.007447
1462.5,1.944827,0.007435
1465,1.944041,0.007424
1467.5,1.94326,0.007414
1470,1.942485,0.007405
1472.5,1.941716,0.007397
1475,1.940952,0.00739
1477.5,1.940194,0.007385
1480,1.939442,0.007381
1482.5,1.938696,0.007379
1485,1.937955,0.007379
1487.5,1.937221,0.00738
1490,1.936492,0.007384
1492.5,1.935769,0.007389
1495,1.935052,0.007397
1497.5,1.934342,0.007407
1500,1.933638,0.007418
1502.5,1.93294,0.007432
1505,1.932249,0.007447
1507.5,1.931565,0.007465
1510,1.930888,0.007483
1512.5,1.930217,0.007504
1515,1.929553,0.007525
1517.5,1.928896,0.007548
1520,1.928245,0.007572
1522.5,1.927601,0.007597
1525,1.926964,0.007623
1527.5,1.926333,0.00765
1530,1.925708,0.007678
1532.5,1.925091,0.007706
1535,1.924479,0.007735
1537.5,1.923874,0.007764
1540,1.923276,0.007794
1542.5,1.922684,0.007825
1545,1.922098,0.007855
1547.5,1.921518,0.007886
1550,1.920944,0.007917
1552.5,1.920377,0.007948
1555,1.919815,0.007978
1557.5,1.91926,0.008009
1560,1.91871,0.008039
1562.5,1.918166,0.00807
1565,1.917628,0.008099
1567.5,1.917095,0.008129
1570,1.916568,0.008158
1572.5,1.916046,0.008186
1575,1.91553,0.008214
1577.5,1.915019,0.008241
1580,1.914513,0.008267
1582.5,1.914012,0.008293
1585,1.913516,0.008317
1587.5,1.913025,0.008341
1590,1.912539,0.008363
1592.5,1.912058,0.008385
1595,1.91158,0.008405
1597.5,1.911107,0.008425
1600,1.910639,0.008443
1602.5,1.910174,0.008461
1605,1.909714,0.008477
1607.5,1.909257,0.008493
1610,1.908804,0.008507
1612.5,1.908355,0.008521
1615,1.90791,0.008534
1617.5,1.907468,0.008546
1620,1.90703,0.008557
1622.5,1.906595,0.008567
1625,1.906164,0.008576
1627.5,1.905736,0.008584
1630,1.905312,0.008592
1632.5,1.90489,0.008598
1635,1.904472,0.008604
1637.5,1.904057,0.008609
1640,1.903646,0.008613
1642.5,1.903237,0.008617
1645,1.902831,0.00862
1647.5,1.902428,0.008622
1650,1.902028,0.008623
1652.5,1.901631,0.008623
1655,1.901236,0.008623
1657.5,1.900845,0.008622
1660,1.900456,0.008621
1662.5,1.900069,0.008619
1665,1.899686,0.008616
1667.5,1.899305,0.008612
1670,1.898926,0.008608
1672.5,1.898551,0.008603
1675,1.898177,0.008598
1677.5,1.897806,0.008592
1680,1.897437,0.008585
1682.5,1.897071,0.008578
1685,1.896707,0.00857
1687.5,1.896345,0.008562
1690,1.895986,0.008553
1692.5,1.895629,0.008544
1695,1.895274,0.008534
1697.5,1.894921,0.008523
1700,1.894571,0.008512
