Ell with T and measured substrate Opt. Const. of B-Spline vs. nm, n (E with T amd substrate),k (E with T and substrate measured)
954.738464,1.352489,8.346722
956.29425,1.353048,8.358844
957.849792,1.353604,8.370966
959.405151,1.354159,8.383092
960.960266,1.35471,8.39522
962.515015,1.35526,8.407351
964.069641,1.355808,8.419487
965.624023,1.356355,8.431629
967.178101,1.3569,8.443776
968.731934,1.357445,8.45593
970.285522,1.357988,8.468091
971.838989,1.358532,8.48026
973.391968,1.359075,8.492437
974.944946,1.359618,8.504625
976.497559,1.360162,8.516822
978.049927,1.360705,8.529028
979.602051,1.36125,8.541246
981.153931,1.361796,8.553474
982.705444,1.362342,8.565716
984.256836,1.36289,8.577968
985.807983,1.36344,8.590235
987.358887,1.363991,8.602513
988.909485,1.364544,8.614806
990.459778,1.365099,8.627112
992.009888,1.365657,8.639433
993.559753,1.366216,8.65177
995.109253,1.366779,8.664121
996.658569,1.367344,8.676487
998.207703,1.367912,8.688869
999.75647,1.368483,8.701268
1011.723267,1.373019,8.797716
1015.185913,1.374377,8.825849
1018.648621,1.375759,8.854087
1022.111328,1.377165,8.882433
1025.573975,1.378597,8.910887
1029.036865,1.380056,8.939454
1032.499634,1.381542,8.968132
1035.962402,1.383057,8.996924
1039.425293,1.384602,9.02583
1042.888184,1.386178,9.054852
1046.351074,1.387785,9.083988
1049.813965,1.389423,9.11324
1053.276978,1.391095,9.142609
1056.739868,1.3928,9.172091
1060.202881,1.394538,9.201691
1063.665771,1.396311,9.231404
1067.128662,1.398119,9.261233
1070.591675,1.399961,9.291176
1074.054688,1.40184,9.321233
1077.5177,1.403754,9.351401
1080.980591,1.405704,9.381681
1084.443604,1.40769,9.412072
1087.906494,1.409713,9.442573
1091.369507,1.411772,9.473182
1094.832397,1.413868,9.503897
1098.295288,1.416001,9.534717
1101.758301,1.418171,9.565642
1105.221191,1.420378,9.596669
1108.684082,1.422622,9.627799
1112.146851,1.424902,9.659026
1115.609741,1.42722,9.690352
1119.07251,1.429574,9.721774
1122.535278,1.431964,9.753289
1125.998047,1.434391,9.784898
1129.460693,1.436855,9.816597
1132.923462,1.439355,9.848384
1136.385986,1.44189,9.880259
1139.848633,1.444461,9.912219
1143.311279,1.447068,9.944261
1146.773682,1.44971,9.976384
1150.236206,1.452387,10.008587
1153.698608,1.455099,10.040866
1157.160889,1.457845,10.07322
1160.623291,1.460625,10.105648
1164.085571,1.463439,10.138146
