wavelength,n,k
455,1.477482458,0.23372
454,1.478105924,0.23186
453,1.478692114,0.23006
452,1.479364136,0.22829
451,1.479959517,0.22657
450,1.480446417,0.22488
449,1.481124781,0.22322
448,1.481827301,0.22159
447,1.482428771,0.21999
446,1.482939161,0.21843
445,1.483596448,0.2169
444,1.48435383,0.2154
443,1.485122963,0.21391
442,1.485955214,0.21245
441,1.486850449,0.21102
440,1.487757221,0.20962
439,1.488670623,0.20826
438,1.489580885,0.20694
437,1.490566016,0.20565
436,1.491611224,0.20439
435,1.492609293,0.20318
434,1.493591952,0.202
433,1.494724429,0.20086
432,1.495710239,0.19977
431,1.496581267,0.19873
430,1.49749773,0.19775
429,1.498532177,0.19681
428,1.499481074,0.19591
427,1.500472772,0.19506
426,1.501354965,0.19424
425,1.502255855,0.19345
424,1.503023398,0.19271
423,1.503877287,0.192
422,1.504720963,0.19132
421,1.50555445,0.19066
420,1.506332042,0.19002
419,1.507058653,0.18941
418,1.507840146,0.18882
417,1.508457792,0.18827
416,1.509012701,0.18776
415,1.509564973,0.18729
414,1.51012901,0.18686
413,1.510673614,0.18648
412,1.511227583,0.18615
411,1.511723797,0.18588
410,1.512186283,0.18568
409,1.512739616,0.18555
408,1.513134711,0.18547
407,1.513577557,0.18546
406,1.51409203,0.18552
405,1.514570431,0.18562
404,1.515031925,0.18578
403,1.515631868,0.18599
402,1.516298422,0.18624
401,1.516819012,0.18653
400,1.517379973,0.18684
399,1.518162541,0.1872
398,1.518889828,0.18758
397,1.519833529,0.18801
396,1.52074801,0.18847
395,1.521704703,0.189
394,1.522865169,0.1896
393,1.523965285,0.19028
392,1.525107247,0.19108
391,1.526388173,0.19199
390,1.527710569,0.19304
389,1.529071959,0.19424
388,1.530375303,0.19561
387,1.531932553,0.19715
386,1.533282852,0.19885
385,1.534648394,0.20074
384,1.535878407,0.20283
383,1.537373296,0.20513
382,1.538692717,0.20762
381,1.539942848,0.21029
380,1.540912622,0.21313
379,1.542038931,0.21612
378,1.542955781,0.21929
377,1.543628409,0.22261
376,1.54430308,0.22608
375,1.5446965,0.22965
374,1.545052364,0.23332
373,1.545178769,0.23702
372,1.545080455,0.24073
371,1.544731622,0.24436
370,1.543883788,0.24787
369,1.542969846,0.25121
368,1.542081151,0.2543
367,1.541189585,0.25707
366,1.54014249,0.25944
365,1.538934836,0.26139
364,1.53792849,0.26291
363,1.536806124,0.26404
362,1.535661698,0.26481
361,1.534693183,0.26527
360,1.533771199,0.26548
359,1.533049237,0.26549
358,1.532555925,0.26536
357,1.531771944,0.26514
356,1.530890635,0.26488
355,1.530056082,0.26463
354,1.52913822,0.2644
353,1.528456536,0.26421
352,1.527840846,0.26404
351,1.526895475,0.26392
350,1.525989788,0.26381
349,1.524974343,0.26369
348,1.524105409,0.26358
347,1.523338112,0.26346
346,1.522472908,0.26329
345,1.521842679,0.26309
344,1.521252618,0.26282
343,1.520964633,0.26246
342,1.52040277,0.26203
341,1.519955019,0.26152
340,1.519738235,0.26095
339,1.519333163,0.26033
338,1.519009018,0.25962
337,1.518913667,0.25889
336,1.51838196,0.25811
335,1.517976483,0.25728
334,1.517697349,0.25643
333,1.517685419,0.25556
332,1.517859588,0.25468
331,1.518334263,0.25381
330,1.518312799,0.25298
329,1.518434425,0.2522
328,1.518739634,0.25146
327,1.518920819,0.25078
326,1.518632342,0.25017
325,1.518846917,0.24958
324,1.519082911,0.24901
323,1.519004251,0.24854
322,1.519302182,0.24816
321,1.519516652,0.24785
320,1.519673909,0.24756
319,1.520097934,0.24728
318,1.520555162,0.24698
317,1.521193122,0.2466
316,1.521787966,0.24612
315,1.522432486,0.24552
314,1.522793857,0.24478
313,1.523257319,0.24384
312,1.523863151,0.24269
311,1.524290638,0.24132
310,1.524715619,0.2397
309,1.525546215,0.23786
308,1.526504347,0.23587
307,1.527759128,0.23384
306,1.529177067,0.23205
305,1.530757683,0.23025
304,1.532500446,0.22841
303,1.534404782,0.22656
302,1.536470071,0.22468
301,1.538695655,0.22278
300,1.54108084,0.22085
