Opt. Const. of ZnO (GenOsc) vs. nm nm,n,k
1108.684082,1.548313,0
1112.146851,1.548251,0
1115.609741,1.54819,0
1119.07251,1.548129,0
1122.535278,1.548068,0
1125.998047,1.548009,0
1129.460693,1.54795,0
1132.923462,1.547891,0
1136.385986,1.547833,0
1139.848633,1.547776,0
1143.311279,1.547719,0
1146.773682,1.547663,0
1150.236206,1.547607,0
1153.698608,1.547552,0
1157.160889,1.547497,0
1160.623291,1.547443,0
1164.085571,1.547389,0
1167.547729,1.547336,0
1171.009888,1.547283,0
1174.471924,1.547231,0
1177.93396,1.54718,0
1181.395996,1.547128,0
1184.857788,1.547078,0
1188.31958,1.547027,0
1191.781372,1.546978,0
1195.243042,1.546928,0
1198.704712,1.546879,0
1202.166138,1.546831,0
1205.627563,1.546783,0
1209.088989,1.546736,0
1212.550171,1.546688,0
1216.011353,1.546642,0
1219.472412,1.546595,0
1222.93335,1.54655,0
1226.394287,1.546504,0
1229.855225,1.546459,0
1233.315796,1.546414,0
1236.776489,1.54637,0
1240.236938,1.546326,0
1243.697266,1.546283,0
1247.157593,1.54624,0
1250.617798,1.546197,0
1254.077881,1.546155,0
1257.537842,1.546113,0
1260.997559,1.546071,0
1264.457275,1.54603,0
1267.91687,1.545989,0
1271.376343,1.545949,0
1274.835693,1.545908,0
1278.294922,1.545869,0
1281.754028,1.545829,0
1285.213013,1.54579,0
1288.671753,1.545751,0
1292.130493,1.545712,0
1295.588989,1.545674,0
1299.047363,1.545636,0
1302.505615,1.545599,0
1305.963745,1.545562,0
1309.421753,1.545525,0
1312.879639,1.545488,0
1316.337158,1.545452,0
1319.794678,1.545416,0
1323.252075,1.54538,0
1326.709229,1.545345,0
1330.16626,1.54531,0
1333.623291,1.545275,0
1337.079834,1.54524,0
1340.536377,1.545206,0
1343.99292,1.545172,0
1347.448975,1.545138,0
1350.905029,1.545105,0
1354.360962,1.545071,0
1357.81665,1.545039,0
1361.272095,1.545006,0
1364.727295,1.544973,0
1368.182495,1.544941,0
1371.637451,1.544909,0
1375.092163,1.544878,0
1378.546753,1.544846,0
1382.001221,1.544815,0
1385.455322,1.544784,0
1388.909302,1.544754,0
1392.363037,1.544723,0
1395.81665,1.544693,0
1399.27002,1.544663,0
1402.723145,1.544634,0
1406.176025,1.544604,0
1409.628784,1.544575,0
1413.081299,1.544546,0
